[2023-01-12T12:30:13.839] [INFO] default - file :readConfig.js, get api called
[2023-01-12T12:30:13.856] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T12:30:14.676] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T12:30:14.707] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T12:30:14.741] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T12:31:29.943] [INFO] default - file :readConfig.js, get api called
[2023-01-12T12:31:29.958] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T12:31:30.062] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T12:31:30.103] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T12:31:30.133] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T12:36:01.660] [INFO] default - file:async (filename)=>{
    return path.basename(filename);
},producer file invoked
[2023-01-12T12:36:09.821] [INFO] default - file:undefined,producer file invoked
[2023-01-12T14:23:08.680] [INFO] default - file:undefined,producer file invoked
[2023-01-12T14:23:37.677] [INFO] default - file:undefined,producer file invoked
[2023-01-12T14:23:45.298] [INFO] default - file :readConfig.js, get api called
[2023-01-12T14:23:45.299] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T14:27:10.918] [INFO] default - file:undefined,producer file invoked
[2023-01-12T14:27:21.312] [INFO] default - file:undefined,producer file invoked
[2023-01-12T14:27:37.963] [INFO] default - file :readConfig.js, get api called
[2023-01-12T14:27:37.965] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T14:28:42.022] [INFO] default - file:undefined,producer file invoked
[2023-01-12T14:28:48.545] [INFO] default - file :readConfig.js, get api called
[2023-01-12T14:28:48.546] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T14:30:07.446] [INFO] default - file :readConfig.js, get api called
[2023-01-12T14:30:07.451] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T14:36:24.772] [INFO] default - file:undefined,producer file invoked
[2023-01-12T14:36:31.085] [INFO] default - file :readConfig.js, get api called
[2023-01-12T14:36:31.086] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T14:37:44.621] [INFO] default - file:undefined,producer file invoked
[2023-01-12T14:37:48.905] [INFO] default - file :readConfig.js, get api called
[2023-01-12T14:37:48.907] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T14:38:17.834] [INFO] default - file:undefined,producer file invoked
[2023-01-12T14:38:21.600] [INFO] default - file :readConfig.js, get api called
[2023-01-12T14:38:21.602] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T14:39:04.106] [INFO] default - file:undefined,producer file invoked
[2023-01-12T14:39:06.677] [INFO] default - file :readConfig.js, get api called
[2023-01-12T14:39:06.678] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T14:40:17.797] [INFO] default - file:undefined,producer file invoked
[2023-01-12T14:40:22.249] [INFO] default - file :readConfig.js, get api called
[2023-01-12T14:40:22.251] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T14:40:38.276] [INFO] default - file :readConfig.js, get api called
[2023-01-12T14:40:38.278] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T14:43:07.748] [INFO] default - file:undefined,producer file invoked
[2023-01-12T14:43:10.260] [INFO] default - file :readConfig.js, get api called
[2023-01-12T14:43:52.471] [INFO] default - file:undefined,producer file invoked
[2023-01-12T14:43:55.026] [INFO] default - file :readConfig.js, get api called
[2023-01-12T14:43:55.028] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T15:02:18.649] [INFO] default - file:undefined,producer file invoked
[2023-01-12T15:02:21.510] [INFO] default - file:undefined,producer file invoked
[2023-01-12T15:02:24.869] [INFO] default - file :readConfig.js, get api called
[2023-01-12T15:02:24.872] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T15:02:25.310] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T15:02:25.340] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T15:02:25.398] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T15:02:46.734] [INFO] default - file:undefined,producer file invoked
[2023-01-12T15:02:51.835] [INFO] default - file :readConfig.js, get api called
[2023-01-12T15:02:51.836] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T15:02:51.874] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T15:02:51.917] [INFO] default - file : readConfig.js, fileExecute function called
[2023-01-12T15:02:51.967] [INFO] default - file : readConfig.js, fileExecute function called
